number,rank,code,title,open_date,sales,sales_acc,audience,audience_acc,screen,show,date
1,1,20150976,신과함께-죄와 벌,2017-12-20,7715346100,76065842532,916689,9456184,1644,7957,2018-01-01
2,2,20170590,1987,2017-12-27,4460740100,19714744137,531520,2473597,1097,4982,2018-01-01
3,3,20170402,강철비,2017-12-14,944300600,32939198166,114310,4128603,602,1451,2018-01-01
4,4,20179462,위대한 쇼맨,2017-12-20,509959700,7166998900,60072,874659,432,843,2018-01-01
5,5,20174965,극장판 포켓몬스터 너로 정했다!,2017-12-21,262886500,3380416200,34103,449358,417,605,2018-01-01
6,6,20176082,몬스터 패밀리,2017-12-21,205793300,2737066e3,26521,368151,342,463,2018-01-01
7,7,20176947,원더,2017-12-27,158549600,790939300,19322,101002,183,378,2018-01-01
8,8,20174846,뽀로로 극장판 공룡섬 대모험,2017-12-07,109207600,5958096200,13750,787493,195,270,2018-01-01
9,9,20177479,극장판 프리파라 모두의 동경♪ 렛츠고☆프리파리,2017-12-28,47882900,327731800,5940,42390,166,246,2018-01-01
10,10,20170443,스타워즈: 라스트 제다이,2017-12-14,35090500,8570976561,3298,949845,35,42,2018-01-01
1,1,20150976,신과함께-죄와 벌,2017-12-20,2205552800,78271395332,294360,9750544,1446,7019,2018-01-02
2,2,20170590,1987,2017-12-27,1643446600,21358190737,217249,2690846,1063,5044,2018-01-02
3,3,20170402,강철비,2017-12-14,358155600,33297353766,48123,4176726,580,1541,2018-01-02
4,4,20179462,위대한 쇼맨,2017-12-20,269267500,7436266400,35182,909841,444,949,2018-01-02
5,5,20174965,극장판 포켓몬스터 너로 정했다!,2017-12-21,123797500,3504213700,17929,467287,371,510,2018-01-02
6,6,20176082,몬스터 패밀리,2017-12-21,8687e4,2823936e3,12678,380829,298,386,2018-01-02
7,7,20176947,원더,2017-12-27,85593600,876532900,11397,112399,173,512,2018-01-02
8,8,20174846,뽀로로 극장판 공룡섬 대모험,2017-12-07,50359500,6008455700,7200,794693,156,217,2018-01-02
9,9,20177479,극장판 프리파라 모두의 동경♪ 렛츠고☆프리파리,2017-12-28,23536500,351268300,3305,45695,148,225,2018-01-02
10,10,20170443,스타워즈: 라스트 제다이,2017-12-14,38465e3,8609441561,2914,952759,37,63,2018-01-02
1,1,20150976,신과함께-죄와 벌,2017-12-20,1622679700,79894075032,215997,9966541,1241,5724,2018-01-03
2,2,20170590,1987,2017-12-27,1329406e3,22687596737,174991,2865837,964,4231,2018-01-03
3,3,20171909,쥬만지: 새로운 세계,2018-01-03,946061400,967156400,124782,127356,724,3110,2018-01-03
4,4,20177104,페르디난드,2018-01-03,377633e3,389883e3,55644,57302,496,956,2018-01-03
5,5,20170402,강철비,2017-12-14,216057300,33513411066,28596,4205322,518,1225,2018-01-03
6,6,20179462,위대한 쇼맨,2017-12-20,197451900,7633718300,25851,935692,366,833,2018-01-03
7,7,20174965,극장판 포켓몬스터 너로 정했다!,2017-12-21,48771800,3552985500,7052,474339,153,178,2018-01-03
8,8,20176947,원더,2017-12-27,33562e3,910094900,4560,116959,128,258,2018-01-03
9,9,20174846,뽀로로 극장판 공룡섬 대모험,2017-12-07,2752e4,6035975700,4024,798717,87,111,2018-01-03
10,10,20176082,몬스터 패밀리,2017-12-21,23183700,2847119700,3466,384295,98,105,2018-01-03
1,1,20150976,신과함께-죄와 벌,2017-12-20,1629949600,81524024632,217041,10183582,1227,5526,2018-01-04
2,2,20170590,1987,2017-12-27,1240967300,23928564037,163434,3029271,986,4260,2018-01-04
3,3,20171909,쥬만지: 새로운 세계,2018-01-03,817357100,1784513500,107671,235027,746,3108,2018-01-04
4,4,20177104,페르디난드,2018-01-03,348750800,738633800,51463,108765,578,1095,2018-01-04
5,5,20170402,강철비,2017-12-14,193722700,33707133766,25612,4230934,502,1126,2018-01-04
6,6,20179462,위대한 쇼맨,2017-12-20,186925500,7820643800,24109,959801,348,792,2018-01-04
7,7,20161872,너의 이름은.,2017-01-04,96383800,29663588456,13070,3687464,115,206,2018-01-04
8,8,20174965,극장판 포켓몬스터 너로 정했다!,2017-12-21,38617200,3591602700,5566,479905,137,154,2018-01-04
9,9,20176947,원더,2017-12-27,38756100,948851e3,5228,122187,143,282,2018-01-04
10,10,20174846,뽀로로 극장판 공룡섬 대모험,2017-12-07,23784900,6059760600,3558,802275,87,110,2018-01-04
1,1,20150976,신과함께-죄와 벌,2017-12-20,2251518243,83775542875,268190,10451772,1211,5497,2018-01-05
2,2,20170590,1987,2017-12-27,1708118697,25636682734,202194,3231465,1012,4456,2018-01-05
3,3,20171909,쥬만지: 새로운 세계,2018-01-03,1142337080,2926850580,135352,370379,750,3200,2018-01-05
4,4,20177104,페르디난드,2018-01-03,363742300,1102376100,48430,157195,631,1244,2018-01-05
5,5,20179462,위대한 쇼맨,2017-12-20,242077900,8062721700,28042,987843,346,799,2018-01-05
6,6,20170402,강철비,2017-12-14,228568100,33935701866,27292,4258226,495,1081,2018-01-05
7,7,20176947,원더,2017-12-27,49733777,998584777,5943,128130,157,297,2018-01-05
8,8,20161872,너의 이름은.,2017-01-04,45987700,29709576156,5519,3692983,121,211,2018-01-05
9,9,20174965,극장판 포켓몬스터 너로 정했다!,2017-12-21,33076900,3624679600,4230,484135,140,156,2018-01-05
10,10,20174846,뽀로로 극장판 공룡섬 대모험,2017-12-07,23795500,6083556100,3202,805477,93,115,2018-01-05
1,1,20150976,신과함께-죄와 벌,2017-12-20,4605381262,88380924137,548356,11000128,1260,5536,2018-01-06
2,2,20170590,1987,2017-12-27,3672277298,29308960032,436764,3668229,1094,4812,2018-01-06
3,3,20171909,쥬만지: 새로운 세계,2018-01-03,2271381970,5198232550,268769,639148,780,3195,2018-01-06
4,4,20177104,페르디난드,2018-01-03,765138800,1867514900,100208,257403,698,1595,2018-01-06
5,5,20170402,강철비,2017-12-14,410684600,34346386466,49258,4307484,457,943,2018-01-06
6,6,20179462,위대한 쇼맨,2017-12-20,378607600,8441329300,43965,1031808,353,751,2018-01-06
7,7,20176947,원더,2017-12-27,83831368,1082416145,10001,138131,144,261,2018-01-06
8,8,20174965,극장판 포켓몬스터 너로 정했다!,2017-12-21,54769e3,3679448600,7139,491274,159,198,2018-01-06
9,9,20161872,너의 이름은.,2017-01-04,51849300,29761425456,6225,3699208,120,197,2018-01-06
10,10,20174846,뽀로로 극장판 공룡섬 대모험,2017-12-07,29661900,6113218e3,3725,809202,93,107,2018-01-06
1,1,20150976,신과함께-죄와 벌,2017-12-20,4191360200,92572284337,502259,11502387,1258,5464,2018-01-07
2,2,20170590,1987,2017-12-27,3539272900,32848232932,421162,4089391,1067,4738,2018-01-07
3,3,20171909,쥬만지: 새로운 세계,2018-01-03,2144238100,7342470650,255408,894556,791,3162,2018-01-07
4,4,20177104,페르디난드,2018-01-03,758165400,2625680300,98378,355781,689,1549,2018-01-07
5,5,20170402,강철비,2017-12-14,359118e3,34705504466,43259,4350743,449,914,2018-01-07
6,6,20179462,위대한 쇼맨,2017-12-20,345798300,8787127600,40085,1071893,352,746,2018-01-07
7,7,20176947,원더,2017-12-27,80570100,1162986245,9554,147685,142,259,2018-01-07
8,8,20174965,극장판 포켓몬스터 너로 정했다!,2017-12-21,56346900,3735795500,7256,498530,151,190,2018-01-07
9,9,20161872,너의 이름은.,2017-01-04,50288700,29811714156,6018,3705226,116,189,2018-01-07
10,10,20174846,뽀로로 극장판 공룡섬 대모험,2017-12-07,27623300,6140841300,3472,812674,89,101,2018-01-07
1,1,20170590,1987,2017-12-27,1368451800,34216684732,179977,4269368,1012,4545,2018-01-08
2,2,20150976,신과함께-죄와 벌,2017-12-20,1307221900,93879506237,174362,11676749,1171,5192,2018-01-08
3,3,20171909,쥬만지: 새로운 세계,2018-01-03,661742400,8004213050,86321,980877,729,3111,2018-01-08
4,4,20177104,페르디난드,2018-01-03,174757200,2800437500,25711,381492,568,1253,2018-01-08
5,5,20179462,위대한 쇼맨,2017-12-20,165805900,8952933500,21194,1093087,368,818,2018-01-08
6,6,20170402,강철비,2017-12-14,132094200,34837598666,17562,4368305,454,1001,2018-01-08
7,7,20176947,원더,2017-12-27,34154e3,1197140245,4544,152229,149,284,2018-01-08
8,8,20174965,극장판 포켓몬스터 너로 정했다!,2017-12-21,15242500,3751038e3,2176,500706,129,154,2018-01-08
9,9,20179985,코코,2018-01-11,1823e4,83306e3,2110,8307,9,9,2018-01-08
10,10,20174846,뽀로로 극장판 공룡섬 대모험,2017-12-07,7463e3,6148304300,1115,813789,74,83,2018-01-08
1,1,20170590,1987,2017-12-27,1333201300,35549886032,175795,4445163,1052,4598,2018-01-09
2,2,20150976,신과함께-죄와 벌,2017-12-20,1165847200,95045353437,156347,11833096,1182,5155,2018-01-09
3,3,20171909,쥬만지: 새로운 세계,2018-01-03,614759100,8618972150,80591,1061468,736,3085,2018-01-09
4,4,20177104,페르디난드,2018-01-03,180347700,2980785200,26788,408280,566,1225,2018-01-09
5,5,20179462,위대한 쇼맨,2017-12-20,165811700,9118745200,21217,1114304,371,806,2018-01-09
6,6,20170402,강철비,2017-12-14,122211800,34959810466,16294,4384599,450,972,2018-01-09
7,7,20176947,원더,2017-12-27,34367e3,1231507245,4588,156817,149,275,2018-01-09
8,8,20161872,너의 이름은.,2017-01-04,17711900,29837625556,2591,3708917,78,104,2018-01-09
9,9,20174965,극장판 포켓몬스터 너로 정했다!,2017-12-21,15103500,3766141500,2191,502897,132,157,2018-01-09
10,10,20174846,뽀로로 극장판 공룡섬 대모험,2017-12-07,8105500,6156409800,1261,815050,81,88,2018-01-09
1,1,20170590,1987,2017-12-27,1264934200,36814820232,166737,4611900,1080,4666,2018-01-10
2,2,20150976,신과함께-죄와 벌,2017-12-20,1061504e3,96106857437,141830,11974926,1170,5039,2018-01-10
3,3,20171909,쥬만지: 새로운 세계,2018-01-03,569717e3,9188689150,73997,1135465,715,3032,2018-01-10
4,4,20177104,페르디난드,2018-01-03,156668300,3137453500,23334,431614,534,1161,2018-01-10
5,5,20179462,위대한 쇼맨,2017-12-20,176585700,9295330900,22621,1136925,377,832,2018-01-10
6,6,20170402,강철비,2017-12-14,114744300,35074554766,15391,4399990,451,938,2018-01-10
7,7,20176104,그것만이 내 세상,2018-01-17,51407e3,71575e3,6307,8566,34,35,2018-01-10
8,8,20176947,원더,2017-12-27,34303300,1265810545,4525,161342,149,280,2018-01-10
9,9,20174965,극장판 포켓몬스터 너로 정했다!,2017-12-21,13746200,3779887700,1986,504883,125,145,2018-01-10
10,10,20179985,코코,2018-01-11,22528700,111234700,1973,10730,17,17,2018-01-10
1,1,20170590,1987,2017-12-27,1097894600,37912714832,143893,4755793,957,3840,2018-01-11
2,2,20150976,신과함께-죄와 벌,2017-12-20,926874200,97033731637,123573,12098499,891,3514,2018-01-11
3,3,20179985,코코,2018-01-11,801853900,913088600,106921,117651,937,3329,2018-01-11
4,4,20171909,쥬만지: 새로운 세계,2018-01-03,423587900,9612277050,55686,1191151,586,1963,2018-01-11
5,5,20173547,다운사이징,2018-01-11,247341600,253960100,32562,33321,511,1657,2018-01-11
6,6,20179462,위대한 쇼맨,2017-12-20,91539e3,9386869900,11648,1148573,203,362,2018-01-11
